SMILES,Clint,logP,Fup,MW_rdkit,HBD_rdkit,HBA_rdkit,NRB_rdkit,RF_rdkit,PSA_rdkit
B([C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,0.48614879306647624,0.4711538461538461,0.1642710472279261,0.501520162546161,0.8,0.6000000000000001,0.5294117647058824,0.5029537467226421,0.7705263157894737
C#CCN1C(=O)COC2=CC(=C(C=C21)N3C(=O)C4=C(C3=O)CCCC4)F,0.4991761509550962,0.5563186813186812,0.018552361396303903,0.4568792916784078,0.0,0.4,0.11764705882352941,0.4275400301514225,0.4143653250773994
C(=C(Cl)Cl)(Cl)Cl,0.020647327526306998,0.673076923076923,0.24260780287474334,0.1747667848191377,0.0,0.0,0.0,0.09957434240526564,0.0
C(=C(Cl)Cl)Cl,0.5418073910312927,0.5508241758241758,0.29260780287474336,0.12438637341124474,0.0,0.0,0.0,0.07363135315191635,0.0
C(C(CCl)OP(=O)(OC(CCl)CCl)OC(CCl)CCl)Cl,0.42431397913732327,0.7074175824175823,0.0008008213552361393,0.5663013332937844,0.0,0.4,0.7058823529411764,0.4030764836755526,0.27715170278637774
C(C(F)(F)F)(C(F)(F)F)F,0.4230162772187446,0.46016483516483514,0.460164271047228,0.18384326753377728,0.0,0.0,0.0,0.026916662744926226,0.0
C(C(F)(F)F)(Cl)Cl,0.7863181952219298,0.5054945054945055,0.5429158110882957,0.15705874501312533,0.0,0.0,0.0,0.05149109981289242,0.0
C(C(F)(F)F)F,0.03646648091880334,0.32005494505494503,0.8698151950718687,0.08300829044744688,0.0,0.0,0.0,0.0,0.0
C(CCC(=O)NN)CC(=O)NN,0.14924682958534896,0.1662087912087912,0.9754620123203286,0.1899387485725303,0.8,0.4,0.29411764705882354,0.1682194054208731,0.6826006191950464
C(CCl)Cl,0.6461478847023739,0.40934065934065933,0.6228952772073924,0.07701662538745606,0.0,0.0,0.058823529411764705,0.05090148642077086,0.0
C(Cl)(Cl)Cl,0.7699530840764456,0.4766483516483516,0.5720739219712527,0.10658934848057901,0.0,0.0,0.0,0.05039842178345612,0.0
C(CNCCN)N,0.2908717136113029,0.09203296703296704,0.9833675564681726,0.08463968439942456,0.6000000000000001,0.30000000000000004,0.23529411764705882,0.10249806752858409,0.39671826625386997
C(F)(F)(F)Br,0.4230162772187446,0.4615384615384615,0.8501026694045175,0.15108191080724337,0.0,0.0,0.0,0.015968245261861372,0.0
C/C(=C\C(=O)N(C)C)/OP(=O)(OC)OC,0.2828761339619823,0.20604395604395603,0.8580082135523616,0.28332863689619886,0.0,0.5,0.29411764705882354,0.23330569182476693,0.4029102167182662
C/C(=C\C(=O)NC)/OP(=O)(OC)OC,0.2520526060203074,0.17857142857142855,0.9117043121149899,0.2625357794355377,0.2,0.5,0.29411764705882354,0.2082752510049122,0.4573374613003096
C[As](=O)(C)O,0.06524147727748789,0.30769230769230765,0.9197125256673513,0.13634004182300857,0.2,0.1,0.0,0.04520711928419853,0.23095975232198143
C[C@@]1(C(=O)N(C(=N1)SC)NC2=CC=CC=C2)C3=CC=CC=C3,0.6169690677202083,0.5837912087912087,0.014743326488706366,0.3931214498642977,0.2,0.4,0.1764705882352941,0.4307136648042458,0.276780185758514
C[C@@]12CCN([C@@H]1N(C3=C2C=C(C=C3)OC(=O)NC)C)C,0.2644017594218303,0.3942307692307692,0.646817248459959,0.3398045293428449,0.2,0.4,0.058823529411764705,0.3585590497812211,0.27746130030959754
C[C@@H](Nc1cc(F)cc(Cl)c1)c1cc(C(=O)N(C)C)cc2c(=O)cc(N3CCOCC3)oc12,0.5556460365868225,0.7967032967032965,0.051334702258726904,0.633440609844721,0.2,0.6000000000000001,0.29411764705882354,0.621805201471978,0.4645201238390093
C[C@@H](Nc1cc(F)cc(F)c1)c1cc(C(=O)N(C)C)cn2c(=O)cc(N3CCOCC3)nc12,0.5420904819635947,0.5741758241758241,0.11293634496919919,0.6097705666869355,0.2,0.7000000000000001,0.29411764705882354,0.5889491304284327,0.4902786377708979
C[C@@H](Oc1cccc2ncnc(Nc3ccc4c(cnn4Cc4nccs4)c3)c12)C(=O)N1CCOCC1,0.7153518766098841,0.7348901098901097,0.7905544147843944,0.6957598588102688,0.2,1.0,0.4117647058823529,0.6990364418941413,0.6643343653250775
C[C@@H]1C[C@@H]2[C@@H](CC[C@@]3(S(=O)(=O)c4ccc(C(F)(F)F)cc4)c4c(F)ccc(F)c4OC[C@@H]23)NS1(=O)=O,0.11271902869174763,0.776098901098901,0.017453798767967148,0.749032286769395,0.2,0.5,0.11764705882352941,0.574831405730285,0.5544272445820434
C[C@@H]1CN(CCN1C(=O)[C@@H]2CCCC[C@H]2C(=O)NC3(CC3)C#N)C4=CC5=C(C=C4)C(=NN5C)C,0.48110763578455756,0.6043956043956042,0.2772073921971253,0.6173046405742506,0.2,0.6000000000000001,0.23529411764705882,0.6381764393734087,0.5836532507739939
C[C@@H]1CN(CCN1C(=O)[C@@H]2CCCC[C@H]2C(=O)NC3(CC3)C#N)C4=CC5=C(C=C4)C(=NO5)C,0.7012416508396081,0.6387362637362637,0.19507186858316225,0.5979800376703694,0.2,0.6000000000000001,0.23529411764705882,0.6019071018121687,0.6344891640866873
