SMILES,predict,Clint,MW_range,PSA_range,NRB_range,HBA_range,HBD_range,LogP_range,variance
Cc1ccc(-c2c(Cl)nc(C#N)n2S(=O)(=O)N(C)C)cc1,3.6376736850147036,3.2749914729946883,300-400,75-100,3-5,5-7,<1,0-1,0.09970169461046416
C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO,3.6376736850147036,3.6480889695139047,200-300,75-100,7-10,3-5,3-5,3-4,0.0028631718898944705
CC(C)C(=O)NC1=CC(=C(C=C1)[N+](=O)[O-])C(F)(F)F,3.6376736850147036,4.360494395961876,200-300,50-75,3-5,3-5,1-3,3-4,0.19870412000519186
C[C@H](CO)NC1=NC(=NC2=C1SC(=O)N2)SCC3=CC=CO3,3.637673003419001,4.25503651548135,300-400,100-150,5-7,7-10,3-5,2-3,0.16971383294609171
CC1=CC(=C(C=C1)C)C,3.6376733442168523,3.207324403353169,<200,<50,<3,<1,<1,3-4,0.11830334451461817
C=CC=C,3.637674025812555,4.123633538419859,<200,<50,<3,<1,<1,1-2,0.13359074504693264
CCC1=CC=CC(=C1N(COCC)C(=O)CCl)C,3.6376736850147036,5.377718266768763,200-300,<50,5-7,1-3,<1,3-4,0.47833995643839844
C1COCCN1C=O,3.6376733442168523,0.7039836928957144,<200,<50,<3,1-3,<1,<0,0.8064741528645947
CC1=C(N=C(N=C1OC(=O)N(C)C)N(C)C)C,3.6376736850147036,4.065997881231354,200-300,50-75,<3,5-7,<1,1-2,0.11774674023193692
CC1(C)SC2C(NC(=O)C(N)c3ccc(O)cc3)C(=O)N2C1C(=O)O,3.6376733442168523,2.155580485727476,300-400,100-150,3-5,5-7,3-5,0-1,0.40742877556206936
c1ccc(C[n+]2cccc3ccccc32)cc1,3.6376733442168523,2.9754700236475196,200-300,<50,<3,<1,<1,3-4,0.18204034013610604
CC(C1CC1)C(CN2C=NC=N2)(C3=CC=C(C=C3)Cl)O,3.6376733442168523,1.5919119052705666,200-300,50-75,5-7,3-5,1-3,2-3,0.5623818193223936
Cc1cc2c(cc1O)CCN(CC(C)C)C2c1ccc(C=CC(=O)O)cc1,3.637673003419001,3.789925425497272,300-400,50-75,5-7,3-5,1-3,>=4,0.04185433965786423
COC(=O)NS(=O)(=O)c1ccc(N)cc1,3.6376736850147036,1.7191421803255609,200-300,75-100,<3,5-7,1-3,<0,0.5274061860263359
CC(C)C1(C(=O)NC(=N1)C2=C(C=CC=N2)C(=O)O)C,3.637673003419001,0.6859522691495428,200-300,75-100,3-5,3-5,1-3,0-1,0.8114309151926854
C1=CC=C(C=C1)NC2=CC=C(C=C2)O,3.637673003419001,5.2578959688614875,<200,<50,<3,1-3,1-3,2-3,0.44540087698729647
CCOP(=O)(OCC)Oc1cc(C)nc(C(C)C)n1,3.637674025812555,4.489575995561223,200-300,50-75,7-10,5-7,<1,2-3,0.2341886842281839
CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4,3.637673003419001,0.6885116631311579,300-400,<50,<3,3-5,<1,2-3,0.8107273352853015
CCNC(=O)NC(=O)/C(=N/OC)/C#N,3.6376736850147036,4.436195640237645,<200,100-150,3-5,5-7,1-3,0-1,0.21951446605546449
CCCOC(=O)c1cc(O)c(O)c(O)c1,3.6376736850147036,4.847737547758402,200-300,75-100,3-5,5-7,3-5,1-2,0.33264773872001413
C1=CC=C(C(=C1)[N+](=O)[O-])[N+](=O)[O-],3.637673003419001,4.136318852594417,<200,75-100,<3,3-5,<1,1-2,0.1370782313705509
C(Cl)(Cl)Cl,3.637674025812555,4.7810847702302395,<200,<50,<3,<1,<1,1-2,0.31432473133797967
CC(C)(C)C1=NN=C(N(C1=O)N)SC,3.6376736850147036,1.312316253610314,200-300,50-75,<3,5-7,1-3,1-2,0.6392430309575238
CC(=O)Nc1nc(C)c(-c2cc3c(c(NS(C)(=O)=O)c2)C(=O)N(C(C)C2CC2)C3)s1,3.6376733442168523,2.267022161991698,400-500,100-150,5-7,5-7,1-3,3-4,0.376793349821475
C1=CC(=C(C(=C1)Cl)C#N)Cl,3.637673003419001,2.939251590002979,<200,<50,<3,1-3,<1,2-3,0.19199672926327607
CCCOC(=O)c1ccc(O)cc1,3.637674025812555,4.581731636731488,<200,<50,3-5,3-5,1-3,3-4,0.2595223600691216
Cc1cccc([N+](=O)[O-])c1,3.6376736850147036,3.7795225326516717,<200,<50,<3,1-3,<1,2-3,0.03899438687433277
CC(C)CC1=C(C(=NC(=C1C(=O)OC)C(F)F)C(F)(F)F)C2=NCCS2,3.6376733442168523,4.668975156893465,300-400,50-75,5-7,5-7,<1,3-4,0.2835058764145491
C[C@]12C[C@@H]([C@H]3[C@H]([C@@H]1CC[C@@]2(C(=O)CO)O)CCC4=CC(=O)C=C[C@]34C)O,3.6376733442168523,2.7638794249233287,300-400,75-100,<3,5-7,3-5,1-2,0.24020680255770482
CC(C)OC(=O)NC1=CC(=CC=C1)Cl,3.6376733442168523,5.296865463046069,200-300,<50,<3,1-3,1-3,3-4,0.4561135353461182
C[C@H](CO)Nc1cc(NS(=O)(=O)N2CCCCC2)nc(SCc2cccc(F)c2F)n1,3.6376733442168523,4.348069046945451,400-500,100-150,7-10,7-10,3-5,2-3,0.1952884731003131
Oc1ccccc1Cc1ccccc1O,3.637674025812555,5.363398162503038,200-300,<50,<3,1-3,1-3,3-4,0.4744032520920164
C=CC(O)=Nc1cc(Nc2ncc(Cl)c(-c3cnn4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,3.6376733442168523,3.6006000007279004,500-600,100-150,>=10,7-10,1-3,>=4,0.010191498364745642
C=CC(O)=Nc1cc(Nc2ncc(Cl)c(-c3cnn4ccccc34)n2)c(OC)cc1N1CC(N(C)C)C1,3.6376733442168523,2.655377710446548,500-600,100-150,7-10,7-10,1-3,>=4,0.2700340299290841
CC(CO)Nc1cc(NS(=O)(=O)N2CCOCC2)nc(SCc2cccc(Cl)c2F)n1,3.6376736850147036,3.0612578074341887,400-500,100-150,7-10,7-10,3-5,2-3,0.15845728820023744
CCC(=O)Nc1ccc(Cl)c(Cl)c1,3.6376733442168523,3.3928489637277615,200-300,<50,<3,1-3,1-3,3-4,0.06730246151518547
CCC(C)N(C)C(=O)c1cc2ccccc2c(-c2ccccc2Cl)n1,3.6376726626211493,4.683666307544404,300-400,<50,3-5,1-3,<1,>=4,0.28754467546059115
CC1=CC=C(C=C1)S(=O)(=O)NC2=C(C(=NN2C3=CC=CC=C3)C)C(=O)N[C@@H](C)C(C)(C)C,3.6376733442168523,2.933040419609829,400-500,75-100,5-7,5-7,1-3,>=4,0.19370427976150809
CCNc1ccccc1,3.6376733442168523,4.033634082553319,<200,<50,<3,1-3,1-3,2-3,0.10884999402501067
CCN(CC)C(=S)SSC(=S)N(CC)CC,3.6376736850147036,4.296070764077701,200-300,<50,3-5,3-5,<1,3-4,0.18099400062536827
Nc1cc(Cl)cc(Cl)c1,3.6376736850147036,5.393919458287381,<200,<50,<3,1-3,1-3,2-3,0.4827936798237232
CCOP(=S)(NC(C)C)OC1=CC=CC=C1C(=O)OC(C)C,3.637674025812555,5.998935073111827,300-400,50-75,7-10,5-7,1-3,>=4,0.6491129700632372
CN1COCN(Cc2cnc(Cl)s2)C1=N[N+](=O)[O-],3.6376736850147036,0.9383807215534246,200-300,75-100,3-5,5-7,<1,<0,0.7420382742463784
CC(C)(C#C)NC(=O)C1=CC(=CC(=C1)Cl)Cl,3.6376736850147036,2.6905119681290026,200-300,<50,<3,1-3,1-3,3-4,0.2603756818336863
COC1=C(C=C(C=C1)CCO[C@@H]2CCCC[C@H]2N3CC[C@H](C3)O)OC,3.6376733442168523,2.858547243087515,300-400,50-75,7-10,5-7,1-3,3-4,0.2141825268054554
C(CCl)Cl,3.637674025812555,4.012689035209935,<200,<50,<3,<1,<1,1-2,0.10309199266495751
CN1C2=C(C(=C(C1=O)F)NC3=C(C=C(C=C3)I)F)C(=O)N(C=N2)C[C@H](CO)O,3.6376733442168523,1.8001302529231387,500-600,100-150,5-7,7-10,3-5,0-1,0.5051423920167982
CC12C=CC3=C4CCC(=O)C=C4CCC3C1CCC2O,3.6376733442168523,4.565980400356549,200-300,<50,<3,1-3,1-3,2-3,0.25519251716395547
CCNC(=O)OC1CCN(CC1)C2=NN=CC3=CC(=C(C=C32)OC)OC,3.6376726626211493,5.107673985224389,300-400,75-100,5-7,7-10,1-3,1-2,0.4041048005273508
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,3.6376736850147036,2.824560326210862,300-400,50-75,<3,5-7,<1,1-2,0.22352565716312403
CC(C)O,3.6376733442168523,1.3360054569004634,<200,<50,<3,1-3,1-3,0-1,0.6327307521309221
C1=Cc2cccc3cccc1c23,3.637673003419001,3.4811919035593912,<200,<50,<3,<1,<1,3-4,0.04301680731353697
COC(=O)NC(=S)Nc1ccccc1NC(=S)NC(=O)OC,3.637674025812555,1.9853886174483968,300-400,100-150,<3,5-7,3-5,1-2,0.45421487388788206
C1=CC=C2C3=C4C(=CC=C3)C5=CC=CC=C5C4=CC2=C1,3.6376733442168523,2.7184285063678635,200-300,<50,<3,<1,<1,>=4,0.25270130449741396
C1CN(C(=N1)N[N+](=O)[O-])CC2=CN=C(C=C2)Cl,3.6376733442168523,2.0970174392014087,200-300,75-100,3-5,5-7,1-3,0-1,0.42352781429815756
C=CCOC(=O)C1=CC=CC=C1C(=O)OCC=C,3.6376736850147036,3.086667844147708,200-300,50-75,5-7,3-5,<1,3-4,0.15147204426907887
Clc1cccc(Cl)c1Cl,3.6376736850147036,2.9322274153361185,<200,<50,<3,<1,<1,>=4,0.19392786911673493
O=[N+]([O-])c1ccccc1,3.637674707408258,3.0810767052953945,<200,<50,<3,1-3,<1,1-2,0.15300933486197185
CC1COC(O1)(CN2C=NC=N2)C3=C(C=C(C=C3)OC4=CC=C(C=C4)Cl)Cl,3.637673003419001,4.367618078184806,400-500,50-75,5-7,5-7,<1,>=4,0.2006626145830842
CCN(CC)C1=NC(=CC(=N1)OP(=S)(OC)OC)C,3.6376733442168523,4.847737547758402,300-400,50-75,7-10,7-10,<1,>=4,0.3326478324056766
C[C@@H]1COCCN1c1cc(C2([S@](C)(=N)=O)CC2)nc(-c2cc[nH]c3nccc2-3)n1,3.637673003419001,1.806418170236714,400-500,100-150,3-5,7-10,1-3,2-3,0.5034137437151203
CCCCCCCCC,3.6376736850147036,2.399200311773536,<200,<50,5-7,<1,<1,>=4,0.34045754092640185
CN(C)C(=O)Nc1cccc(C(F)(F)F)c1,3.6376736850147036,3.280747969380977,200-300,<50,<3,1-3,1-3,2-3,0.0981192281268299
COC(=O)C=C(C)OP(=O)(OC)OC,3.6376736850147036,2.5617295641011073,200-300,50-75,5-7,5-7,<1,0-1,0.29577809058728144
COC1=C(C=CC(=C1C(=O)O)Cl)Cl,3.6376736850147036,0.974359502990924,200-300,<50,<3,1-3,1-3,2-3,0.7321476720595244
CN1CCN(c2cc(Cl)c3[nH]c(Nc4ccc(Br)cn4)nc3c2)CC1,3.6376733442168523,3.1738240641526563,400-500,50-75,3-5,5-7,1-3,3-4,0.1275126205078178
CC1=CC(=C(C=C1)C(C)(C)C)O,3.6376733442168523,4.528232984567794,<200,<50,<3,1-3,1-3,3-4,0.24481571566508029
CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,3.6376736850147036,2.600247446345537,300-400,75-100,3-5,3-5,1-3,1-2,0.2851894871066012
CCCCCCCCN(C)C,3.6376736850147036,4.5043184018182485,<200,<50,7-10,1-3,<1,2-3,0.23824147980477953
CN(C)C1=CC=C(C=C1)N=NC2=CC=CC=C2C(=O)O,3.6376736850147036,3.3755967986580426,200-300,50-75,3-5,3-5,1-3,3-4,0.0720451922427095
c1ccc2c(c1)Cc1ccccc1-2,3.6376733442168523,3.457424710324947,<200,<50,<3,<1,<1,>=4,0.04955052565206132
CC(C)(C)C1=CC=C(C=C1)OC2CCCCC2OS(=O)OCC#C,3.6376736850147036,4.128153220694453,300-400,<50,5-7,3-5,<1,>=4,0.13483330380792408
CCCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,3.637673003419001,3.789925425497272,300-400,<50,5-7,5-7,<1,3-4,0.04185433965786423
CCC(C)c1ccc(O)cc1,3.6376736850147036,3.9003153171265224,<200,<50,<3,1-3,1-3,3-4,0.07220044140284808
C(C(F)(F)F)(C(F)(F)F)F,3.637673003419001,2.627824938988848,<200,<50,<3,<1,<1,1-2,0.2776082200503041
CC(C)(C)C1=NN=C(S1)N(C)C(=O)NC,3.6376736850147036,2.669932366488085,200-300,50-75,<3,3-5,1-3,1-2,0.26603303444157916
CCS(=O)(=O)c1ccc2oc(-c3ccc4ccccc4c3)nc2c1,3.637673003419001,2.0630085059282193,300-400,50-75,3-5,3-5,<1,3-4,0.43287680961343034
CC1=CC(=C(C=C1)OC)N,3.6376733442168523,3.9257321837465176,<200,<50,<3,1-3,1-3,1-2,0.07918765656763564
CC(CN1C(C)Cc2c([nH]c3ccccc23)C1c1ccc(Cl)cc1)C(=O)O,3.637673003419001,4.086293909171261,300-400,50-75,3-5,1-3,1-3,>=4,0.12332632552355027
C[C@@]12CCN([C@@H]1N(C3=C2C=C(C=C3)OC(=O)NC)C)C,3.6376733442168523,1.643385516382693,200-300,<50,<3,3-5,1-3,1-2,0.548231673311605
CC1=C(C(=CC=C1)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=NC(=N2)OCC(F)(F)F)N(C)C,3.637673003419001,3.6327328488112807,400-500,>=150,7-10,>=10,1-3,3-4,0.0013580533307220198
CC(=O)OC1(C(C)=O)CCC2C3C=C(Cl)C4=CC(=O)C5CC5C4(C)C3CCC21C,3.6376733442168523,2.5134599304809226,400-500,50-75,<3,3-5,<1,3-4,0.3090473663679469
C/C(=C\C(=O)N(C)C)/OP(=O)(OC)OC,3.6376733442168523,1.7580465376935106,200-300,50-75,5-7,5-7,<1,0-1,0.5167112464707536
CNS(=O)(=O)CC1=CC2=C(C=C1)NC=C2CCN(C)C,3.6376733442168523,1.965984476132442,200-300,50-75,5-7,3-5,1-3,0-1,0.4595489039320913
CCS(=O)(=O)c1ccc(C(N=C(C)O)C(=O)Nc2cc(-c3cc(C#N)cc(F)c3OC)cs2)cc1,3.6376736850147036,2.6730991333599206,500-600,100-150,7-10,7-10,1-3,>=4,0.2651624871329594
CC(C)N(C(=O)CCl)c1ccccc1,3.637674025812555,5.18367899998282,200-300,<50,3-5,1-3,<1,2-3,0.4249982786375964
CC(C)(C)C(O)C(Cc1ccc(Cl)cc1)n1cncn1,3.6376736850147036,2.9531536328672403,200-300,50-75,3-5,3-5,1-3,3-4,0.18817523146180382
Cc1ccc(C)c(C)c1,3.6376736850147036,3.207324403353169,<200,<50,<3,<1,<1,3-4,0.11830343820028062
COc1cc(Cl)c(OC)cc1Cl,3.6376743666104066,2.8362668362238797,200-300,<50,<3,1-3,<1,3-4,0.22030771348861813
C=CC(=O)Nc1cc(Nc2ncc(C#N)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,3.6376736850147036,3.2749914729946883,500-600,100-150,>=10,7-10,1-3,>=4,0.09970169461046416
COc1ccc(C(CCCN)(c2ccccc2)c2ccccc2)cc1,3.6376736850147036,0.8207265198063668,300-400,<50,7-10,1-3,1-3,>=4,0.7743815293150215
COC(=O)NC1=NC2=CC=CC=C2N1,3.637673003419001,4.128153220694453,<200,50-75,<3,3-5,1-3,1-2,0.13483349117924898
C(CNCCN)N,3.6376733442168523,1.8076710230351154,<200,50-75,3-5,3-5,3-5,<0,0.5030694269418237
Cc1cc2c(cc1O)CCN(CC(C)C)[C@@H]2c1ccc(/C=C/C(=O)O)cc1,3.6376736850147036,3.789925425497272,300-400,50-75,5-7,3-5,1-3,>=4,0.04185415228653933
CC[C@@H]1C[C@@H]2[C@@H](CC[C@@]3(S(=O)(=O)c4ccc(C(F)(F)F)cc4)c4c(F)ccc(F)c4OC[C@@H]23)NS1(=O)=O,3.6376733442168523,0.567181382230949,500-600,75-100,3-5,5-7,1-3,>=4,0.8440812417922192
CC(C)C1CCC(Cc2ccc(Cl)cc2)C1(O)Cn1cncn1,3.6376733442168523,5.552859967556872,300-400,50-75,5-7,3-5,1-3,>=4,0.5264866748738007
CCC1(CCC(=O)NC1=O)C2=CC=C(C=C2)N,3.6376733442168523,1.0436381581317689,200-300,50-75,<3,3-5,1-3,<0,0.7131028083549369
C[C@@H]1Cc2cc(O)ccc2[C@@H](c2c(F)cc(/C=C/C(=O)O)cc2F)N1CC(C)(C)F,3.6376736850147036,5.295590652439659,400-500,50-75,5-7,3-5,1-3,>=4,0.45576299497861117
CC(=O)Nc1ccc(O)cc1,3.637674025812555,0.649946912270624,<200,<50,<3,1-3,1-3,0-1,0.8213291040513507
CC(C)(C)C(=O)C(N1C=NC=N1)OC2=CC=C(C=C2)Cl,3.6376733442168523,3.640774151623198,200-300,50-75,3-5,5-7,<1,2-3,0.0008524149870804234
CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,3.6376733442168523,1.474454769386837,200-300,75-100,5-7,3-5,1-3,2-3,0.5946709007925737
CCCCSP(=O)(SCCCC)SCCCC,3.637674025812555,5.766105825364386,300-400,<50,>=10,3-5,<1,>=4,0.5851079822641158
CCN1CCC2(CC1)COC3=C2C=C4C(=C3)CCN4C(=O)C5=CC=C(C=C5)C6=C(C=C(C=C6)C7=NN=C(O7)C)C.Cl,3.6376733442168523,2.5518637282315644,500-600,50-75,3-5,5-7,<1,>=4,0.29849012482612786
C(=C(Cl)Cl)Cl,3.6376743666104066,3.365100801984549,<200,<50,<3,<1,<1,2-3,0.07493073935953912
CC(C)C1(C(=O)NC(=N1)C2=NC3=CC=CC=C3C=C2C(=O)O)C,3.6376733442168523,1.981186982692312,300-400,75-100,3-5,3-5,1-3,1-2,0.4553697200181526
CC#C[C@@]1(CC[C@@H]2[C@@]1(C[C@@H](C3=C4CCC(=O)C=C4CC[C@@H]23)C5=CC=C(C=C5)N(C)C)C)O,3.637673003419001,4.448174329147284,400-500,<50,<3,3-5,1-3,>=4,0.22280760671735975
CCOC1=CC=C(C=C1)N,3.6376733442168523,3.5866069434349686,<200,<50,<3,1-3,1-3,1-2,0.014038203492952012
Cc1cc(C)nc(NC(=O)NS(=O)(=O)c2ccccc2C(=O)OC2COC2)n1,3.637673003419001,2.1866286493522855,400-500,100-150,5-7,7-10,1-3,1-2,0.39889351134599876
CC(C)(C)c1ccc(O)c(C(C)(C)C)c1,3.637673003419001,2.003051197665122,200-300,<50,<3,1-3,1-3,>=4,0.44935913226393537
OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,3.6376733442168523,2.986957674107695,400-500,<50,5-7,5-7,1-3,>=4,0.17888237379528935
C1=CC(=CC=C1[C@H]([C@@H](CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-],3.637674025812555,1.0436381581317689,300-400,100-150,5-7,5-7,3-5,1-2,0.7131029957262618
COC(=O)N1CCN(C2CCC(N=c3nc[nH]n4ccc([C@H](C)CC(=N)O)c34)CC2)CC1,3.6376736850147036,2.155580485727476,400-500,100-150,5-7,7-10,3-5,1-2,0.4074288692477318
Cc1ccc(C(=O)c2ccccc2)cc1,3.6376733442168523,5.707865461243779,<200,<50,<3,1-3,<1,3-4,0.5690978366080394
CN(C)CC/C=C/1\C2=CC=CC=C2SC3=C1C=C(C=C3)Cl,3.6376733442168523,3.6006000007279004,300-400,<50,3-5,1-3,<1,>=4,0.010191498364745642
COC(=O)C1=CC=CC=C1C(=O)OC,3.6376733442168523,4.054149419800121,<200,50-75,<3,3-5,<1,1-2,0.11448968028814181
COc1cc(N2CCN(C(=O)C3CCCCC3C(=O)NC3(C#N)CC3)C(C)C2)ccc1C1CC1,3.6376736850147036,4.168330503120788,400-500,75-100,5-7,5-7,1-3,3-4,0.14587807802069336
C1=CC=C(C=C1)C2=NC(=NC(=N2)N)N,3.637673003419001,1.3868626995849846,<200,75-100,<3,5-7,1-3,1-2,0.618749952717727
CC(C)(C=NOC(=O)NC)SC,3.6376736850147036,1.0636861018882966,<200,50-75,3-5,3-5,1-3,1-2,0.7075917027048272
COC(=O)NC(=S)NC1=CC=CC=C1NC(=S)NC(=O)OC,3.6376736850147036,1.9853886174483968,300-400,100-150,<3,5-7,3-5,1-2,0.4542147802022196
C1CC1C#C[C@]2(C3=C(C=CC(=C3)Cl)NC(=O)O2)C(F)(F)F,3.6376733442168523,3.120247839228025,300-400,<50,<3,1-3,1-3,3-4,0.14224077711099403
CCOC1=CC2=CC=CC=C2OC1=O,3.637674025812555,4.206955728268953,<200,<50,<3,3-5,<1,1-2,0.1564960964848771
C1=CC=C2C(=C1)C=CC3=CC4=CC=CC=C4C=C32,3.6376733442168523,3.8604004147232507,200-300,<50,<3,<1,<1,>=4,0.061227889400560835
C[C@H](CO)NC1=NC(=NC2=C1SC(=N2)N)SCC3=C(C(=CC=C3)F)F,3.637673003419001,3.0111742796952568,300-400,75-100,5-7,7-10,3-5,3-4,0.17222511156158707
CCO,3.6376733442168523,3.9480677960588535,<200,<50,<3,1-3,1-3,<0,0.08532773822562263
CC(C)N1CCC(N(C(=O)Cc2ccccc2)c2ccc(Cl)cc2)CC1,3.637673003419001,4.4907177751379725,300-400,<50,5-7,1-3,<1,>=4,0.23450284160692272
CC1=C[C@@H]2[C@H](CC[C@]3([C@H]2CC(=C)[C@@]3(C(=O)C)OC(=O)C)C)[C@@]4(C1=CC(=O)CC4)C,3.6376736850147036,4.6665852717761345,300-400,50-75,<3,3-5,<1,3-4,0.28284880097399145
CC1=C(C=C(C=C1)N)O,3.6376733442168523,3.730712137715869,<200,<50,<3,1-3,1-3,0-1,0.025576455279403332
Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1,3.637673003419001,1.6220079968531347,400-500,100-150,7-10,5-7,3-5,1-2,0.5541082806413969
CC#CC1(O)CCC2C3CCC4=CC(=O)CCC4=C3C(c3ccc(N(C)C)cc3)CC21C,3.637672321823298,4.448174329147284,400-500,<50,<3,3-5,1-3,>=4,0.22280779408868476
C1=CC=C(C=C1)OCCO,3.6376733442168523,3.839829166306212,<200,<50,3-5,1-3,1-3,1-2,0.055572833102077654
C=CCc1ccc2c(c1)OCO2,3.637673003419001,3.6089028025919774,<200,<50,<3,1-3,<1,2-3,0.007908956330561186
O=C1Nc2ccc(Cl)cc2C(C#CC2CC2)(C(F)(F)F)O1,3.6376733442168523,3.120247839228025,300-400,<50,<3,1-3,1-3,3-4,0.14224077711099403
CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,3.637674025812555,1.33466680034524,200-300,50-75,<3,3-5,1-3,1-2,0.6330989374978306
CCOC1=CC=C(C=C1)CC2=C(C=CC(=C2)[C@@]34[C@@H]([C@H]([C@@H]([C@@](O3)(CO4)CO)O)O)O)Cl,3.6376733442168523,2.5216684127124465,400-500,100-150,5-7,7-10,3-5,1-2,0.3067908465786123
CN(C)NC(=O)CCC(=O)O,3.6376736850147036,1.9208043332511078,<200,50-75,3-5,3-5,1-3,<0,0.47196906305995784
COC1=NN(C(=O)S1)CSP(=S)(OC)OC,3.6376736850147036,2.396424482625675,300-400,50-75,5-7,7-10,<1,2-3,0.34122061907255463
CCOP(=O)(NC(C)C)OC1=CC(=C(C=C1)SC)C,3.6376736850147036,5.069070685216515,300-400,<50,7-10,3-5,1-3,3-4,0.3934924345630152
C1=CC=C(C=C1)NC(=O)CCl,3.637674025812555,4.604902850257079,<200,<50,<3,1-3,1-3,1-2,0.2658921493174424
Fc1ccc(CN2CCN(C3=Nn4c(nnc4C(F)(F)F)CC3)CC2)cc1,3.6376736850147036,2.343142412490957,300-400,<50,<3,5-7,<1,2-3,0.35586791223644393
COC(=O)NS(=O)(=O)C1=CC=C(C=C1)N,3.6376733442168523,1.7191421803255609,200-300,75-100,<3,5-7,1-3,<0,0.5274060923406735
COCCOC[C@H](CC1(CCCC1)C(=O)NC2CCC(CC2)C(=O)O)C(=O)OC3=CC4=C(CCC4)C=C3,3.6376736850147036,3.2651287310143484,500-600,100-150,>=10,5-7,1-3,3-4,0.1024129720218068
Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1,3.6376736850147036,2.232420674799882,300-400,<50,3-5,3-5,<1,3-4,0.3863054261595316
O=C1CCC2(O)C3Cc4ccc(O)c5c4C2(CCN3CC2CC2)C1O5,3.637673003419001,3.840922478681181,300-400,50-75,<3,5-7,1-3,1-2,0.05587347942834489
CC(O)=Nc1nc(C)c(-c2cc3c(c(S(C)(=O)=O)c2)C(=O)N([C@@H](C)C2CC2)C3)s1,3.6376736850147036,0.7019681610657231,400-500,75-100,5-7,5-7,1-3,3-4,0.8070283182205281
CCCCc1ccc(N)cc1,3.6376733442168523,4.221997544129426,<200,<50,3-5,1-3,1-3,3-4,0.16063129373979926
COc1ccc(C)cc1N,3.6376736850147036,3.9257321837465176,<200,<50,<3,1-3,1-3,1-2,0.0791875628819732
C1C(O1)CN2C(=O)N(C(=O)N(C2=O)CC3CO3)CC4CO4,3.6376736850147036,6.128993563575989,200-300,100-150,5-7,7-10,<1,<0,0.684866269911214
CCC(C)(NC(=O)c1cc(Cl)c(C)c(Cl)c1)C(=O)CCl,3.6376733442168523,2.455343930372117,300-400,<50,5-7,1-3,1-3,3-4,0.3250235116069366
CCCCOC(=O)c1ccc(O)cc1,3.637674025812555,4.615031304941204,<200,<50,3-5,3-5,1-3,3-4,0.26867647141079287
CCOC(=O)c1ccccc1C(=O)OCC,3.637673003419001,4.6925650311110845,200-300,50-75,3-5,3-5,<1,2-3,0.2899908495820169
CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,3.637674025812555,2.020069783139841,200-300,50-75,7-10,3-5,1-3,2-3,0.44468098753805346
COP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1,3.6376743666104066,3.613714458122686,200-300,50-75,5-7,5-7,<1,2-3,0.0065866022643690115
Nc1c(Cl)c(F)nc(OCC(=O)O)c1Cl,3.6376743666104066,1.71502983531521,200-300,75-100,3-5,3-5,1-3,1-2,0.5285368610608724
CN(C)C1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C3=CC=C(C=C3)N(C)C.[Cl-],3.637673003419001,3.0989053054127274,400-500,<50,3-5,1-3,<1,>=4,0.1481077668337367
CC(C)(C)C(CCC1=CC=C(C=C1)Cl)(CN2C=NC=N2)O,3.6376733442168523,2.669227276553883,300-400,50-75,5-7,3-5,1-3,3-4,0.2662267706680626
CC(C)(C1=CC=CC=C1)C2=CC=C(C=C2)O,3.6376736850147036,4.251418963806454,200-300,<50,<3,1-3,1-3,3-4,0.16871917708313844
CC12CC1(C)C(=O)N(c1cc(Cl)cc(Cl)c1)C2=O,3.6376733442168523,2.6766060413572883,200-300,<50,<3,1-3,<1,3-4,0.26419834101077644
CCOC1=NC=C(C2=C1[C@@H](C(=C(N2)C)C(=O)N)C3=C(C=C(C=C3)C#N)OC)C,3.637673003419001,2.557794902195457,300-400,100-150,5-7,5-7,1-3,3-4,0.2968595456199985
COc1ccc2c(c1)C[C@@H](C)N(CC(C)C)[C@@H]2c1ccc(/C=C/C(=O)O)cc1,3.6376736850147036,4.966201228338529,300-400,<50,5-7,3-5,1-3,>=4,0.3652135203111434
CCC(=NOCC=CCl)C1C(=O)CC(C2CCOCC2)CC1=O,3.6376733442168523,2.2534852543804322,300-400,50-75,5-7,5-7,<1,3-4,0.38051465895629966
CN1CCN(C(=O)c2cc3cc(Cl)ccc3[nH]2)CC1,3.6376736850147036,3.286471518089347,200-300,<50,<3,1-3,1-3,2-3,0.09654581899206227
